"","participant.id_in_session","subsession.round_number","player.xchoice","player.ychoice","player.consume","player.rollo","group.qx","group.qy","group.price","tre","session","rosa"
"50",2,7,82,181,106.4,1,97,720.1,7.4,0,101,0
"51",3,7,70.5,224.27,100.7,1,97,720.1,7.4,0,101,0
"52",4,7,30.5,301.16,527.56,2,97,720.1,7.4,0,101,0
"53",5,7,73,216.12,102.1,1,97,720.1,7.4,0,101,0
"54",6,7,95,98.74,108.3,1,97,720.1,7.4,0,101,0
"55",7,7,37.5,293.15,571.55,2,97,720.1,7.4,0,101,0
"56",8,7,1,316.21,323.61,2,97,720.1,7.4,0,101,0
"57",1,8,33,298.51,73,1,136.5,1017.6,7.5,0,101,0
"58",2,8,49.5,274.77,86.4,1,136.5,1017.6,7.5,0,101,0
"59",3,8,90.5,134.53,108.5,1,136.5,1017.6,7.5,0,101,0
"60",4,8,19.5,310.16,455.56,2,136.5,1017.6,7.5,0,101,0
"61",5,8,20,309.84,61.6,1,136.5,1017.6,7.5,0,101,0
"62",6,8,84.5,169.11,799.11,2,136.5,1017.6,7.5,0,101,0
"63",7,8,31.5,300.13,534.93,2,136.5,1017.6,7.5,0,101,0
"64",8,8,1,316.21,323.71,2,136.5,1017.6,7.5,0,101,0
"65",1,9,29,302.64,456.04,2,216,1142.7,5.3,0,101,0
"66",2,9,61,250.58,108.4,1,216,1142.7,5.3,0,101,0
"67",3,9,54,266.16,104.3,1,216,1142.7,5.3,0,101,0
"68",4,9,10,314.64,69.5,1,216,1142.7,5.3,0,101,0
"69",5,9,17.5,311.35,76.4,1,216,1142.7,5.3,0,101,0
"70",6,9,77.5,199.84,609.84,2,216,1142.7,5.3,0,101,0
"71",7,9,59,255.32,567.42,2,216,1142.7,5.3,0,101,0
"72",8,9,50.5,272.94,540.14,2,216,1142.7,5.3,0,101,0
"73",1,10,28.5,303.11,425.81,2,188,809.5,4.3,0,101,0
"74",2,10,77,201.77,123.9,1,188,809.5,4.3,0,101,0
"75",3,10,50.5,272.94,113.9,1,188,809.5,4.3,0,101,0
"76",4,10,91,131.11,121.5,1,188,809.5,4.3,0,101,0
"77",5,10,19,310.47,392.27,2,188,809.5,4.3,0,101,0
"78",6,10,93.5,112.15,514.75,2,188,809.5,4.3,0,101,0
"79",7,10,76.5,203.66,123.8,1,188,809.5,4.3,0,101,0
"80",8,10,47,279.12,481.52,2,188,809.5,4.3,0,101,0
"81",1,11,91,131.11,132.3,1,266.5,846.4,3.2,0,101,0
"82",2,11,72.5,217.8,141.1,1,266.5,846.4,3.2,0,101,0
"83",3,11,52,270.11,137,1,266.5,846.4,3.2,0,101,0
"84",4,11,41,288.43,418.63,2,266.5,846.4,3.2,0,101,0
"85",5,11,69.5,227.37,141.1,1,266.5,846.4,3.2,0,101,0
"86",6,11,98,62.93,374.13,2,266.5,846.4,3.2,0,101,0
"87",7,11,87.5,153.09,430.99,2,266.5,846.4,3.2,0,101,0
"88",8,11,40,289.83,416.83,2,266.5,846.4,3.2,0,101,0
"89",1,12,60.5,251.79,487.29,2,234,910.7,3.9,0,101,0
"90",2,12,65,240.31,126.7,1,234,910.7,3.9,0,101,0
"91",3,12,53.5,267.17,122.1,1,234,910.7,3.9,0,101,0
"92",4,12,31,300.65,421.25,2,234,910.7,3.9,0,101,0
"93",5,12,72,219.45,499.65,2,234,910.7,3.9,0,101,0
"94",6,12,93,116.23,122.9,1,234,910.7,3.9,0,101,0
"95",7,12,70.5,224.27,498.67,2,234,910.7,3.9,0,101,0
"96",8,12,42,286.98,115.7,1,234,910.7,3.9,0,101,0
"97",1,13,54,266.16,124.3,1,261.5,990.1,3.8,0,101,0
"98",2,13,80,189.74,130.1,1,261.5,990.1,3.8,0,101,0
"99",3,13,45,282.4,119.6,1,261.5,990.1,3.8,0,101,0
"100",4,13,80,189.74,492.64,2,261.5,990.1,3.8,0,101,0
"101",5,13,46.5,279.96,456.06,2,261.5,990.1,3.8,0,101,0
"102",6,13,93.5,112.15,466.15,2,261.5,990.1,3.8,0,101,0
"103",7,13,60.5,251.79,127,1,261.5,990.1,3.8,0,101,0
"104",8,13,41.5,287.71,444.81,2,261.5,990.1,3.8,0,101,0
"105",1,14,28.5,303.11,166.4,1,296,650.6,2.2,0,101,0
"106",2,14,60,252.98,175.1,1,296,650.6,2.2,0,101,0
"107",3,14,51,272.01,384.11,2,296,650.6,2.2,0,101,0
"108",4,14,99.5,31.58,113.9,1,296,650.6,2.2,0,101,0
"109",5,14,71.5,221.08,378.28,2,296,650.6,2.2,0,101,0
"110",6,14,83,176.38,358.78,2,296,650.6,2.2,0,101,0
"111",7,14,90.5,134.53,333.43,2,296,650.6,2.2,0,101,0
"112",8,14,98,62.93,126.6,1,296,650.6,2.2,0,101,0
"113",1,15,29.5,302.15,380.35,2,229.5,608.2,2.7,0,101,0
"114",2,15,63,245.58,412.58,2,229.5,608.2,2.7,0,101,0
"115",3,15,50.5,272.94,406.74,2,229.5,608.2,2.7,0,101,0
"116",4,15,98.5,54.57,119.1,1,229.5,608.2,2.7,0,101,0
"117",5,15,91,131.11,140.5,1,229.5,608.2,2.7,0,101,0
"118",6,15,77.5,199.84,152.9,1,229.5,608.2,2.7,0,101,0
"119",7,15,86.5,158.67,387.87,2,229.5,608.2,2.7,0,101,0
"120",8,15,71,222.69,155,1,229.5,608.2,2.7,0,101,0
"121",1,16,80,189.74,134.5,1,270.5,941.3,3.5,0,101,0
"122",2,16,62,248.11,133.3,1,270.5,941.3,3.5,0,101,0
"123",3,16,45,282.4,126.2,1,270.5,941.3,3.5,0,101,0
"124",4,16,99.5,31.58,377.88,2,270.5,941.3,3.5,0,101,0
"125",5,16,79.5,191.83,468.53,2,270.5,941.3,3.5,0,101,0
"126",6,16,71.5,221.08,135,1,270.5,941.3,3.5,0,101,0
"127",7,16,50,273.86,447.86,2,270.5,941.3,3.5,0,101,0
"128",8,16,41.5,287.71,432.11,2,270.5,941.3,3.5,0,101,0
"129",1,17,30,301.66,391.56,2,236,707.3,3,0,101,0
"130",2,17,73,216.12,434.92,2,236,707.3,3,0,101,0
"131",3,17,47,279.12,140.1,1,236,707.3,3,0,101,0
"132",4,17,90,137.84,136,1,236,707.3,3,0,101,0
"133",5,17,46,280.78,418.68,2,236,707.3,3,0,101,0
"134",6,17,98,62.93,119,1,236,707.3,3,0,101,0
"135",7,17,87,155.92,416.62,2,236,707.3,3,0,101,0
"136",8,17,69.5,227.37,145.4,1,236,707.3,3,0,101,0
"137",1,18,25,306.19,396.09,2,237,851.9,3.6,0,101,0
"138",2,18,1,316.21,89,1,237,851.9,3.6,0,101,0
"139",3,18,48.5,276.55,450.85,2,237,851.9,3.6,0,101,0
"140",4,18,99.5,31.58,108.3,1,237,851.9,3.6,0,101,0
"141",5,18,70,225.83,477.43,2,237,851.9,3.6,0,101,0
"142",6,18,93.5,112.15,448.25,2,237,851.9,3.6,0,101,0
"143",7,18,47.5,278.28,124.9,1,237,851.9,3.6,0,101,0
"144",8,18,70,225.83,132.8,1,237,851.9,3.6,0,101,0
"145",1,19,27.5,304.04,409.84,2,226,869.5,3.8,0,101,0
"146",2,19,23,307.75,103,1,226,869.5,3.8,0,101,0
"147",3,19,43,285.5,450.9,2,226,869.5,3.8,0,101,0
"148",4,19,30,301.66,108.4,1,226,869.5,3.8,0,101,0
"149",5,19,94,107.89,469.59,2,226,869.5,3.8,0,101,0
"150",6,19,84,171.58,128.6,1,226,869.5,3.8,0,101,0
"151",7,19,96,88.54,119,1,226,869.5,3.8,0,101,0
"152",8,19,61.5,249.35,485.95,2,226,869.5,3.8,0,101,0
"153",1,20,26.5,304.92,389.12,2,211.5,672.1,3.2,0,101,0
"154",2,20,81,185.45,139.4,1,211.5,672.1,3.2,0,101,0
"155",3,20,38,292.51,413.31,2,211.5,672.1,3.2,0,101,0
"156",4,20,60.5,251.79,139.7,1,211.5,672.1,3.2,0,101,0
"157",5,20,95.5,93.79,125,1,211.5,672.1,3.2,0,101,0
"158",6,20,89.5,141.06,133.9,1,211.5,672.1,3.2,0,101,0
"159",7,20,96.5,82.93,389.63,2,211.5,672.1,3.2,0,101,0
"160",8,20,50.5,272.94,433.44,2,211.5,672.1,3.2,0,101,0
"161",1,21,26,305.35,434.25,2,161,798.4,5,0,101,0
"162",2,21,20,309.84,409.04,2,161,798.4,5,0,101,0
"163",3,21,40,289.83,98.4,1,161,798.4,5,0,101,0
"164",4,21,88.5,147.23,118.2,1,161,798.4,5,0,101,0
"165",5,21,80,189.74,118.3,1,161,798.4,5,0,101,0
"166",6,21,74,212.7,579.7,2,161,798.4,5,0,101,0
"167",7,21,41,288.43,491.73,2,161,798.4,5,0,101,0
"168",8,21,84,171.58,118.6,1,161,798.4,5,0,101,0
"169",1,22,26,305.35,437.95,2,157,800.4,5.1,0,101,0
"170",2,22,80,189.74,597.54,2,157,800.4,5.1,0,101,0
"171",3,22,80,189.74,117.2,1,157,800.4,5.1,0,101,0
"172",4,22,98.5,54.57,109.2,1,157,800.4,5.1,0,101,0
"173",5,22,60,252.98,109.6,1,157,800.4,5.1,0,101,0
"174",6,22,50,273.86,528.76,2,157,800.4,5.1,0,101,0
"175",7,22,28.5,303.11,88,1,157,800.4,5.1,0,101,0
"176",8,22,1,316.21,321.31,2,157,800.4,5.1,0,101,0
"177",1,23,26,305.35,143.4,1,327.5,852,2.6,0,101,0
"178",2,23,73.5,214.42,405.62,2,327.5,852,2.6,0,101,0
"179",3,23,85,166.58,149,1,327.5,852,2.6,0,101,0
"180",4,23,98.5,54.57,310.77,2,327.5,852,2.6,0,101,0
"181",5,23,95.5,93.79,131.6,1,327.5,852,2.6,0,101,0
"182",6,23,69,228.89,408.39,2,327.5,852,2.6,0,101,0
"183",7,23,86.5,158.67,383.67,2,327.5,852,2.6,0,101,0
"184",8,23,42.5,286.25,152.5,1,327.5,852,2.6,0,101,0
"185",1,24,30.5,301.16,399.86,2,289,935.5,3.2,0,101,0
"186",2,24,81.5,183.24,447.04,2,289,935.5,3.2,0,101,0
"187",3,24,95.5,93.79,402.89,2,289,935.5,3.2,0,101,0
"188",4,24,96.5,82.93,122.1,1,289,935.5,3.2,0,101,0
"189",5,24,51.5,271.07,135.2,1,289,935.5,3.2,0,101,0
"190",6,24,81.5,183.24,447.04,2,289,935.5,3.2,0,101,0
"191",7,24,17.5,311.35,113.7,1,289,935.5,3.2,0,101,0
"192",8,24,52,270.11,135.4,1,289,935.5,3.2,0,101,0
"193",1,25,39,291.19,133,1,297,920,3.1,0,101,0
"194",2,25,86.5,158.67,426.67,2,297,920,3.1,0,101,0
"195",3,25,99.5,31.58,339.78,2,297,920,3.1,0,101,0
"196",4,25,70.5,224.27,442.67,2,297,920,3.1,0,101,0
"197",5,25,43.5,284.74,135.4,1,297,920,3.1,0,101,0
"198",6,25,81,185.45,140.9,1,297,920,3.1,0,101,0
"199",7,25,86.5,158.67,137.7,1,297,920,3.1,0,101,0
"200",8,25,40.5,289.13,414.63,2,297,920,3.1,0,101,0
"201",1,26,26.5,304.92,373.62,2,268,695,2.6,0,101,0
"202",2,26,98.5,54.57,309.97,2,268,695,2.6,0,101,0
"203",3,26,97.5,70.27,124.6,1,268,695,2.6,0,101,0
"204",4,26,50,273.86,403.56,2,268,695,2.6,0,101,0
"205",5,26,44.5,283.19,153.7,1,268,695,2.6,0,101,0
"206",6,26,98.5,54.57,119.5,1,268,695,2.6,0,101,0
"207",7,26,93,116.23,357.43,2,268,695,2.6,0,101,0
"208",8,26,42,286.98,152.7,1,268,695,2.6,0,101,0
"209",1,27,26,305.35,100.9,1,280,1142.1,4.1,0,101,0
"210",2,27,60,252.98,497.68,2,280,1142.1,4.1,0,101,0
"211",3,27,96.5,82.93,476.53,2,280,1142.1,4.1,0,101,0
"212",4,27,10,314.64,87.1,1,280,1142.1,4.1,0,101,0
"213",5,27,52.5,269.14,118.5,1,280,1142.1,4.1,0,101,0
"214",6,27,81.5,183.24,515.64,2,280,1142.1,4.1,0,101,0
"215",7,27,60,252.98,122,1,280,1142.1,4.1,0,101,0
"216",8,27,42,286.98,458.28,2,280,1142.1,4.1,0,101,0
"217",1,28,40.5,289.13,418.93,2,206.5,661.9,3.2,0,101,0
"218",2,28,74,212.7,449.9,2,206.5,661.9,3.2,0,101,0
"219",3,28,96,88.54,123.6,1,206.5,661.9,3.2,0,101,0
"220",4,28,50,273.86,434.16,2,206.5,661.9,3.2,0,101,0
"221",5,28,85,166.58,137,1,206.5,661.9,3.2,0,101,0
"222",6,28,83,176.38,138,1,206.5,661.9,3.2,0,101,0
"223",7,28,68.5,230.39,140.4,1,206.5,661.9,3.2,0,101,0
"224",8,28,42,286.98,421.58,2,206.5,661.9,3.2,0,101,0
"225",1,29,43,285.5,426.3,2,276.5,905.2,3.3,0,101,0
"226",2,29,67,234.76,454.06,2,276.5,905.2,3.3,0,101,0
"227",3,29,90.5,134.53,430.83,2,276.5,905.2,3.3,0,101,0
"228",4,29,30.5,301.16,122.5,1,276.5,905.2,3.3,0,101,0
"229",5,29,20,309.84,114.6,1,276.5,905.2,3.3,0,101,0
"230",6,29,76,205.52,454.32,2,276.5,905.2,3.3,0,101,0
"231",7,29,87.5,153.09,134.3,1,276.5,905.2,3.3,0,101,0
"232",8,29,89.5,141.06,132.6,1,276.5,905.2,3.3,0,101,0
"233",1,30,35.5,295.63,485.93,2,188,1007.5,5.4,0,101,0
"234",2,30,64.5,241.66,109.6,1,188,1007.5,5.4,0,101,0
"235",3,30,86,161.37,622.27,2,188,1007.5,5.4,0,101,0
"236",4,30,60,252.98,574.58,2,188,1007.5,5.4,0,101,0
"237",5,30,55,264.1,104.3,1,188,1007.5,5.4,0,101,0
"238",6,30,72.5,217.8,113.1,1,188,1007.5,5.4,0,101,0
"239",7,30,6.5,315.56,350.36,2,188,1007.5,5.4,0,101,0
"240",8,30,44,283.97,97,1,188,1007.5,5.4,0,101,0
"241",1,31,34.5,296.81,96.7,1,218,1039.8,4.8,0,101,0
"242",2,31,76,205.52,568.02,2,218,1039.8,4.8,0,101,0
"243",3,31,82.5,178.71,120,1,218,1039.8,4.8,0,101,0
"244",4,31,48.5,276.55,106.5,1,218,1039.8,4.8,0,101,0
"245",5,31,58.5,256.47,535.47,2,218,1039.8,4.8,0,101,0
"246",6,31,75.5,207.36,567.46,2,218,1039.8,4.8,0,101,0
"247",7,31,8,315.21,353.41,2,218,1039.8,4.8,0,101,0
"248",8,31,41.5,287.71,101.8,1,218,1039.8,4.8,0,101,0
"249",1,32,60.5,251.79,486.79,2,271,1052.5,3.9,0,101,0
"250",2,32,70,225.83,497.73,2,271,1052.5,3.9,0,101,0
"251",3,32,74.5,210.94,500.24,2,271,1052.5,3.9,0,101,0
"252",4,32,71,222.69,128.3,1,271,1052.5,3.9,0,101,0
"253",5,32,60,252.98,125.1,1,271,1052.5,3.9,0,101,0
"254",6,32,66,237.57,493.87,2,271,1052.5,3.9,0,101,0
"255",7,32,41,288.43,115.3,1,271,1052.5,3.9,0,101,0
"256",8,32,41,288.43,115.3,1,271,1052.5,3.9,0,101,0
"257",1,33,27,304.48,412.88,2,230.5,925.6,4,0,101,0
"258",2,33,73,216.12,126.8,1,230.5,925.6,4,0,101,0
"259",3,33,77.5,199.84,511.04,2,230.5,925.6,4,0,101,0
"260",4,33,52,270.11,119.3,1,230.5,925.6,4,0,101,0
"261",5,33,48.5,276.55,471.25,2,230.5,925.6,4,0,101,0
"262",6,33,77.5,199.84,511.04,2,230.5,925.6,4,0,101,0
"263",7,33,88,150.2,125.4,1,230.5,925.6,4,0,101,0
"264",8,33,40.5,289.13,112.5,1,230.5,925.6,4,0,101,0
"265",1,34,30,301.66,407.36,2,235.5,829.4,3.5,0,101,0
"266",2,34,70.5,224.27,134.2,1,235.5,829.4,3.5,0,101,0
"267",3,34,76,205.52,134.4,1,235.5,829.4,3.5,0,101,0
"268",4,34,71,222.69,472.79,2,235.5,829.4,3.5,0,101,0
"269",5,34,77,201.77,134.3,1,235.5,829.4,3.5,0,101,0
"270",6,34,78,197.89,134.2,1,235.5,829.4,3.5,0,101,0
"271",7,34,95.5,93.79,430.19,2,235.5,829.4,3.5,0,101,0
"272",8,34,39,291.19,428.59,2,235.5,829.4,3.5,0,101,0
"273",1,35,23,307.75,377.85,2,274.5,836.7,3,0,101,0
"274",2,35,80.5,187.61,142,1,274.5,836.7,3,0,101,0
"275",3,35,91,131.11,134,1,274.5,836.7,3,0,101,0
"276",4,35,86.5,158.67,422.37,2,274.5,836.7,3,0,101,0
"277",5,35,69,228.89,144.1,1,274.5,836.7,3,0,101,0
"278",6,35,81.5,183.24,431.64,2,274.5,836.7,3,0,101,0
"279",7,35,83.5,174,428.5,2,274.5,836.7,3,0,101,0
"280",8,35,40.5,289.13,135.4,1,274.5,836.7,3,0,101,0
"281",1,36,28,303.58,493.78,2,155.5,1056.6,6.8,0,101,0
"282",2,36,50.5,272.94,90.7,1,155.5,1056.6,6.8,0,101,0
"283",3,36,58,257.6,651.7,2,155.5,1056.6,6.8,0,101,0
"284",4,36,60.5,251.79,97.6,1,155.5,1056.6,6.8,0,101,0
"285",5,36,42.5,286.25,84.6,1,155.5,1056.6,6.8,0,101,0
"286",6,36,63,245.58,99.1,1,155.5,1056.6,6.8,0,101,0
"287",7,36,28,303.58,493.78,2,155.5,1056.6,6.8,0,101,0
"288",8,36,41.5,287.71,569.71,2,155.5,1056.6,6.8,0,101,0
"289",1,37,30,301.66,428.86,2,252.5,1070.7,4.2,0,101,0
"290",2,37,63,245.58,512.68,2,252.5,1070.7,4.2,0,101,0
"291",3,37,40.5,289.13,108.7,1,252.5,1070.7,4.2,0,101,0
"292",4,37,80,189.74,528.94,2,252.5,1070.7,4.2,0,101,0
"293",5,37,57,259.83,118.3,1,252.5,1070.7,4.2,0,101,0
"294",6,37,79.5,191.83,528.93,2,252.5,1070.7,4.2,0,101,0
"295",7,37,67.5,233.32,122.5,1,252.5,1070.7,4.2,0,101,0
"296",8,37,41,288.43,109,1,252.5,1070.7,4.2,0,101,0
"297",1,38,27.5,304.04,414.34,2,249.5,1000.3,4,0,101,0
"298",2,38,54.5,265.14,120.6,1,249.5,1000.3,4,0,101,0
"299",3,38,51.5,271.07,119.1,1,249.5,1000.3,4,0,101,0
"300",4,38,71.5,221.08,126.6,1,249.5,1000.3,4,0,101,0
"301",5,38,90,137.84,498.64,2,249.5,1000.3,4,0,101,0
"302",6,38,64,242.98,124.6,1,249.5,1000.3,4,0,101,0
"303",7,38,91,131.11,495.91,2,249.5,1000.3,4,0,101,0
"304",8,38,41,288.43,452.83,2,249.5,1000.3,4,0,101,0
"305",1,39,34.5,296.81,450.11,2,224,995.5,4.4,0,101,0
"306",2,39,61,250.58,117.4,1,224,995.5,4.4,0,101,0
"307",3,39,30.5,301.16,98.3,1,224,995.5,4.4,0,101,0
"308",4,39,87.5,153.09,541.99,2,224,995.5,4.4,0,101,0
"309",5,39,71.5,221.08,121.2,1,224,995.5,4.4,0,101,0
"310",6,39,59.5,254.16,518.56,2,224,995.5,4.4,0,101,0
"311",7,39,71,222.69,121.1,1,224,995.5,4.4,0,101,0
"312",8,39,42.5,286.25,475.15,2,224,995.5,4.4,0,101,0
"313",1,40,37,293.79,99.5,1,202.5,951.5,4.7,0,101,0
"314",2,40,56,261.99,525.09,2,202.5,951.5,4.7,0,101,0
"315",3,40,38,292.51,471.11,2,202.5,951.5,4.7,0,101,0
"316",4,40,93.5,112.15,117.4,1,202.5,951.5,4.7,0,101,0
"317",5,40,61,250.58,537.18,2,202.5,951.5,4.7,0,101,0
"318",6,40,53,268.16,110.1,1,202.5,951.5,4.7,0,101,0
"319",7,40,48,277.42,107,1,202.5,951.5,4.7,0,101,0
"320",8,40,47.5,278.28,501.48,2,202.5,951.5,4.7,0,101,0
"321",1,41,58,257.6,512.7,2,252.5,1110.6,4.4,0,101,0
"322",2,41,63,245.58,522.68,2,252.5,1110.6,4.4,0,101,0
"323",3,41,22.5,308.12,92.6,1,252.5,1110.6,4.4,0,101,0
"324",4,41,71,222.69,121.6,1,252.5,1110.6,4.4,0,101,0
"325",5,41,68.5,230.39,531.69,2,252.5,1110.6,4.4,0,101,0
"326",6,41,63,245.58,522.68,2,252.5,1110.6,4.4,0,101,0
"327",7,41,23,307.75,93,1,252.5,1110.6,4.4,0,101,0
"328",8,41,51,272.01,112.8,1,252.5,1110.6,4.4,0,101,0
"329",1,42,28.5,303.11,488.41,2,165.5,1075.9,6.5,0,101,0
"330",2,42,64.5,241.66,101.7,1,165.5,1075.9,6.5,0,101,0
"331",3,42,49,275.66,594.26,2,165.5,1075.9,6.5,0,101,0
"332",4,42,61,250.58,99.5,1,165.5,1075.9,6.5,0,101,0
"333",5,42,35.5,295.63,526.43,2,165.5,1075.9,6.5,0,101,0
"334",6,42,50,273.86,92.1,1,165.5,1075.9,6.5,0,101,0
"335",7,42,20,309.84,67.7,1,165.5,1075.9,6.5,0,101,0
"336",8,42,52.5,269.14,610.44,2,165.5,1075.9,6.5,0,101,0
"337",1,43,42,286.98,96.5,1,198,1041.7,5.3,0,101,0
"338",2,43,68.5,230.39,590.79,2,198,1041.7,5.3,0,101,0
"339",3,43,56,261.99,556.59,2,198,1041.7,5.3,0,101,0
"340",4,43,79.5,191.83,116,1,198,1041.7,5.3,0,101,0
"341",5,43,18,311.06,77.1,1,198,1041.7,5.3,0,101,0
"342",6,43,69.5,227.37,592.97,2,198,1041.7,5.3,0,101,0
"343",7,43,4,315.97,336.97,2,198,1041.7,5.3,0,101,0
"344",8,43,60.5,251.79,108.4,1,198,1041.7,5.3,0,101,0
"345",1,44,61.5,249.35,129.5,1,265,971.6,3.7,0,101,0
"346",2,44,61,250.58,474.28,2,265,971.6,3.7,0,101,0
"347",3,44,48.5,276.55,123.9,1,265,971.6,3.7,0,101,0
"348",4,44,85,166.58,130.4,1,265,971.6,3.7,0,101,0
"349",5,44,55.5,263.05,466.55,2,265,971.6,3.7,0,101,0
"350",6,44,47,279.12,123.1,1,265,971.6,3.7,0,101,0
"351",7,44,87,155.92,474.92,2,265,971.6,3.7,0,101,0
"352",8,44,61.5,249.35,474.85,2,265,971.6,3.7,0,101,0
"353",1,45,50.5,272.94,114.6,1,257,1094.4,4.3,0,101,0
"354",2,45,65,240.31,517.11,2,257,1094.4,4.3,0,101,0
"355",3,45,60,252.98,508.48,2,257,1094.4,4.3,0,101,0
"356",4,45,57.5,258.72,118.3,1,257,1094.4,4.3,0,101,0
"357",5,45,64.5,241.66,516.36,2,257,1094.4,4.3,0,101,0
"358",6,45,40,289.83,108.1,1,257,1094.4,4.3,0,101,0
"359",7,45,67.5,233.32,520.72,2,257,1094.4,4.3,0,101,0
"360",8,45,50.5,272.94,114.6,1,257,1094.4,4.3,0,101,0
"361",1,46,99,44.61,114.2,1,256.5,754,2.9,0,101,0
"362",2,46,70,225.83,431.63,2,256.5,754,2.9,0,101,0
"363",3,46,53.5,267.17,424.47,2,256.5,754,2.9,0,101,0
"364",4,46,45.5,281.6,415.4,2,256.5,754,2.9,0,101,0
"365",5,46,87.5,153.09,410.29,2,256.5,754,2.9,0,101,0
"366",6,46,40.5,289.13,138.9,1,256.5,754,2.9,0,101,0
"367",7,46,88,150.2,139.1,1,256.5,754,2.9,0,101,0
"368",8,46,52,270.11,143.9,1,256.5,754,2.9,0,101,0
"369",1,47,25.5,305.77,95,1,224,985.2,4.4,0,101,0
"370",2,47,77,201.77,540.47,2,224,985.2,4.4,0,101,0
"371",3,47,53,268.16,501.26,2,224,985.2,4.4,0,101,0
"372",4,47,49.5,274.77,112,1,224,985.2,4.4,0,101,0
"373",5,47,39.5,290.51,464.21,2,224,985.2,4.4,0,101,0
"374",6,47,54.5,265.14,504.84,2,224,985.2,4.4,0,101,0
"375",7,47,90.5,134.53,121.1,1,224,985.2,4.4,0,101,0
"376",8,47,52,270.11,113.4,1,224,985.2,4.4,0,101,0
"377",1,48,10,314.64,96.5,1,287,1044.5,3.6,0,101,0
"378",2,48,80.5,187.61,480.61,2,287,1044.5,3.6,0,101,0
"379",3,48,52,270.11,126.2,1,287,1044.5,3.6,0,101,0
"380",4,48,61.5,249.35,473.15,2,287,1044.5,3.6,0,101,0
